hypothesis_id,effect_hypothesis,compound,promotional_source_count,candidate_receptor_or_family,receptor_evidence_tier,primary_source,pmid,doi,receptor_mechanism_status,effect_support_status,uncertainty_boundary,interpretation
H0014,analgesic,humulene,6,CNR2/CB2; TRP channels,family-level candidate,,,,unresolved,unresolved,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance.",Chemically and phenotypically plausible immune/nociceptive targets; direct target evidence for α-humulene remains unresolved here.
H0015,analgesic,β-caryophyllene,6,CNR2/CB2,direct binding and functional receptor pharmacology,https://pubmed.ncbi.nlm.nih.gov/18574142/,18574142,10.1016/j.bcp.2008.05.011,unresolved,unresolved,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance.",Strongest receptor-supported compound in this pass: selective CB2 binding/agonism plus CB2-dependent mouse analgesia; promotional effects still require effect-specific support.
H0016,analgesic,β-myrcene,6,TRPV1; odorant receptors,direct receptor pharmacology,https://pubmed.ncbi.nlm.nih.gov/31446830/,31446830,10.1080/19336950.2019.1654347,unresolved,unresolved,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance.",Myrcene activated TRPV1 in an inducible human-cell system; a later nanoparticle study is formulation-specific and does not establish free-compound pharmacology.
H0017,analgesic,linalool,6,GABAA receptor,direct receptor pharmacology,https://pubmed.ncbi.nlm.nih.gov/28680877/,28680877,10.1016/j.neuropharm.2017.02.034,evidence_linked,unresolved,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance.",Direct/in vitro and brainstem evidence supports GABAA modulation; it does not establish any individual promotional effect or human exposure relevance.
H0018,analgesic,borneol,6,GABAA receptor,direct receptor pharmacology,https://pubmed.ncbi.nlm.nih.gov/15763546/,15763546,10.1016/j.bcp.2005.01.002,unresolved,unresolved,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance.","Human recombinant GABAA modulation and antagonist-sensitive animal effects provide a plausible mechanism, with enantiomer and concentration qualifications."
H0019,anorectic,humulene,1,CNR2/CB2; TRP channels,family-level candidate,,,,unresolved,unresolved,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance.",Chemically and phenotypically plausible immune/nociceptive targets; direct target evidence for α-humulene remains unresolved here.
H0020,anti-anxiety,β-caryophyllene,4,CNR2/CB2,direct binding and functional receptor pharmacology,https://pubmed.ncbi.nlm.nih.gov/18574142/,18574142,10.1016/j.bcp.2008.05.011,unresolved,unresolved,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance.",Strongest receptor-supported compound in this pass: selective CB2 binding/agonism plus CB2-dependent mouse analgesia; promotional effects still require effect-specific support.
H0021,anti-anxiety,linalool,4,GABAA receptor,direct receptor pharmacology,https://pubmed.ncbi.nlm.nih.gov/28680877/,28680877,10.1016/j.neuropharm.2017.02.034,evidence_linked,unresolved,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance.",Direct/in vitro and brainstem evidence supports GABAA modulation; it does not establish any individual promotional effect or human exposure relevance.
H0022,anti-anxiety,borneol,4,GABAA receptor,direct receptor pharmacology,https://pubmed.ncbi.nlm.nih.gov/15763546/,15763546,10.1016/j.bcp.2005.01.002,unresolved,unresolved,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance.","Human recombinant GABAA modulation and antagonist-sensitive animal effects provide a plausible mechanism, with enantiomer and concentration qualifications."
H0023,anti-anxiety,d-limonene,4,unresolved,no compound-specific receptor evidence,,,,unresolved,unresolved,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance.",Keep d-limonene separate from l-limonene and from unspecified limonene; receptor assignment is unresolved.
H0024,anti-bacterial,α-pinene,9,GABAA benzodiazepine-site receptor,direct receptor pharmacology,https://pubmed.ncbi.nlm.nih.gov/27573669/,27573669,10.1124/mol.116.105080,unresolved,unresolved,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance.",Direct receptor modulation was reported for (-)-α-pinene in recombinant/brain-slice and mouse sleep models; stereoisomer and dose remain critical.
H0025,anti-bacterial,β-pinene,9,GABAA receptor; TRP channels,analogue-based candidate,,,,unresolved,unresolved,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance.","Plausible monoterpene receptor hypotheses, but no compound-specific receptor result was established in this first pass."
H0026,anti-bacterial,humulene,9,CNR2/CB2; TRP channels,family-level candidate,,,,unresolved,unresolved,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance.",Chemically and phenotypically plausible immune/nociceptive targets; direct target evidence for α-humulene remains unresolved here.
H0027,anti-bacterial,β-caryophyllene,9,CNR2/CB2,direct binding and functional receptor pharmacology,https://pubmed.ncbi.nlm.nih.gov/18574142/,18574142,10.1016/j.bcp.2008.05.011,unresolved,unresolved,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance.",Strongest receptor-supported compound in this pass: selective CB2 binding/agonism plus CB2-dependent mouse analgesia; promotional effects still require effect-specific support.
H0028,anti-bacterial,β-myrcene,9,TRPV1; odorant receptors,direct receptor pharmacology,https://pubmed.ncbi.nlm.nih.gov/31446830/,31446830,10.1080/19336950.2019.1654347,unresolved,unresolved,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance.",Myrcene activated TRPV1 in an inducible human-cell system; a later nanoparticle study is formulation-specific and does not establish free-compound pharmacology.
H0029,anti-bacterial,terpinolene,9,unresolved,no compound-specific receptor evidence,,,,unresolved,unresolved,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance.",Keep as an open receptor-screening hypothesis; do not infer a target from network pharmacology alone.
H0030,anti-bacterial,fenchol,9,unresolved,no compound-specific receptor evidence,,,,unresolved,unresolved,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance.",No receptor target assigned in this first pass; prioritize identity-resolved binding or functional assays.
H0031,anti-bacterial,α-bisabolol,9,GABAA receptor; CHRNA7/α7 nicotinic receptor,direct receptor pharmacology,https://pubmed.ncbi.nlm.nih.gov/26283025/,26283025,10.1016/j.neuroscience.2015.08.019,unresolved,unresolved,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance.","α7-nAChR inhibition is directly reported; anxiolytic behavior was GABAA-antagonist sensitive, but these mechanisms should remain separate."
H0032,anti-bacterial,ocimene,9,odorant receptors,sensory-only evidence,https://pubmed.ncbi.nlm.nih.gov/11085637/,,,unresolved,unresolved,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance.","Insect olfactory-neuron responses support odorant sensing, not a human pharmacological target for these effects."
H0033,anti-coagulant,β-caryophyllene,3,CNR2/CB2,direct binding and functional receptor pharmacology,https://pubmed.ncbi.nlm.nih.gov/18574142/,18574142,10.1016/j.bcp.2008.05.011,unresolved,unresolved,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance.",Strongest receptor-supported compound in this pass: selective CB2 binding/agonism plus CB2-dependent mouse analgesia; promotional effects still require effect-specific support.
H0034,anti-coagulant,linalool,3,GABAA receptor,direct receptor pharmacology,https://pubmed.ncbi.nlm.nih.gov/28680877/,28680877,10.1016/j.neuropharm.2017.02.034,evidence_linked,unresolved,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance.",Direct/in vitro and brainstem evidence supports GABAA modulation; it does not establish any individual promotional effect or human exposure relevance.
H0035,anti-coagulant,borneol,3,GABAA receptor,direct receptor pharmacology,https://pubmed.ncbi.nlm.nih.gov/15763546/,15763546,10.1016/j.bcp.2005.01.002,unresolved,unresolved,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance.","Human recombinant GABAA modulation and antagonist-sensitive animal effects provide a plausible mechanism, with enantiomer and concentration qualifications."
H0036,anti-depressant,β-pinene,4,GABAA receptor; TRP channels,analogue-based candidate,,,,unresolved,unresolved,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance.","Plausible monoterpene receptor hypotheses, but no compound-specific receptor result was established in this first pass."
H0037,anti-depressant,β-caryophyllene,4,CNR2/CB2,direct binding and functional receptor pharmacology,https://pubmed.ncbi.nlm.nih.gov/18574142/,18574142,10.1016/j.bcp.2008.05.011,unresolved,unresolved,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance.",Strongest receptor-supported compound in this pass: selective CB2 binding/agonism plus CB2-dependent mouse analgesia; promotional effects still require effect-specific support.
H0038,anti-depressant,linalool,4,GABAA receptor,direct receptor pharmacology,https://pubmed.ncbi.nlm.nih.gov/28680877/,28680877,10.1016/j.neuropharm.2017.02.034,evidence_linked,unresolved,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance.",Direct/in vitro and brainstem evidence supports GABAA modulation; it does not establish any individual promotional effect or human exposure relevance.
H0039,anti-depressant,d-limonene,4,unresolved,no compound-specific receptor evidence,,,,unresolved,unresolved,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance.",Keep d-limonene separate from l-limonene and from unspecified limonene; receptor assignment is unresolved.
H0040,anti-epileptic,linalool,1,GABAA receptor,direct receptor pharmacology,https://pubmed.ncbi.nlm.nih.gov/28680877/,28680877,10.1016/j.neuropharm.2017.02.034,evidence_linked,unresolved,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance.",Direct/in vitro and brainstem evidence supports GABAA modulation; it does not establish any individual promotional effect or human exposure relevance.
H0041,anti-fungal,β-caryophyllene,4,CNR2/CB2,direct binding and functional receptor pharmacology,https://pubmed.ncbi.nlm.nih.gov/18574142/,18574142,10.1016/j.bcp.2008.05.011,unresolved,unresolved,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance.",Strongest receptor-supported compound in this pass: selective CB2 binding/agonism plus CB2-dependent mouse analgesia; promotional effects still require effect-specific support.
H0042,anti-fungal,caryophyllene oxide,4,unresolved,phenotype-only,https://pubmed.ncbi.nlm.nih.gov/34358077/,34358077,,unresolved,unresolved,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance.","A mouse sedative phenotype was reported, but a GABAA mechanism was not supported in the cited study; receptor target remains unresolved."
H0043,anti-fungal,terpinolene,4,unresolved,no compound-specific receptor evidence,,,,unresolved,unresolved,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance.",Keep as an open receptor-screening hypothesis; do not infer a target from network pharmacology alone.
H0044,anti-fungal,ocimene,4,odorant receptors,sensory-only evidence,https://pubmed.ncbi.nlm.nih.gov/11085637/,,,unresolved,unresolved,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance.","Insect olfactory-neuron responses support odorant sensing, not a human pharmacological target for these effects."
H0045,anti-microbial,α-pinene,5,GABAA benzodiazepine-site receptor,direct receptor pharmacology,https://pubmed.ncbi.nlm.nih.gov/27573669/,27573669,10.1124/mol.116.105080,unresolved,unresolved,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance.",Direct receptor modulation was reported for (-)-α-pinene in recombinant/brain-slice and mouse sleep models; stereoisomer and dose remain critical.
H0046,anti-microbial,β-pinene,5,GABAA receptor; TRP channels,analogue-based candidate,,,,unresolved,unresolved,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance.","Plausible monoterpene receptor hypotheses, but no compound-specific receptor result was established in this first pass."
H0047,anti-microbial,nerolidol,5,TRPV1,direct receptor pharmacology,https://pubmed.ncbi.nlm.nih.gov/31446830/,31446830,10.1080/19336950.2019.1654347,unresolved,unresolved,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance.","Nerolidol was active in the same inducible TRPV1 screening study, but isolated-compound translational relevance and effect support remain unresolved."
H0048,anti-microbial,terpinolene,5,unresolved,no compound-specific receptor evidence,,,,unresolved,unresolved,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance.",Keep as an open receptor-screening hypothesis; do not infer a target from network pharmacology alone.
H0049,anti-microbial,α-bisabolol,5,GABAA receptor; CHRNA7/α7 nicotinic receptor,direct receptor pharmacology,https://pubmed.ncbi.nlm.nih.gov/26283025/,26283025,10.1016/j.neuroscience.2015.08.019,unresolved,unresolved,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance.","α7-nAChR inhibition is directly reported; anxiolytic behavior was GABAA-antagonist sensitive, but these mechanisms should remain separate."
H0050,anti-mutagenic,β-myrcene,1,TRPV1; odorant receptors,direct receptor pharmacology,https://pubmed.ncbi.nlm.nih.gov/31446830/,31446830,10.1080/19336950.2019.1654347,unresolved,unresolved,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance.",Myrcene activated TRPV1 in an inducible human-cell system; a later nanoparticle study is formulation-specific and does not establish free-compound pharmacology.
H0051,anti-nociceptive,phytol,2,GABAA α2/α3; HTR1A,computational plus preclinical,https://pubmed.ncbi.nlm.nih.gov/40116135/,40116135,,unresolved,unresolved,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance.","Docking and mouse antidepressant-like results nominate GABAA α2/α3 and 5-HT1A, but this is not direct receptor binding evidence."
H0052,anti-nociceptive,borneol,2,GABAA receptor,direct receptor pharmacology,https://pubmed.ncbi.nlm.nih.gov/15763546/,15763546,10.1016/j.bcp.2005.01.002,unresolved,unresolved,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance.","Human recombinant GABAA modulation and antagonist-sensitive animal effects provide a plausible mechanism, with enantiomer and concentration qualifications."
H0053,anti-oxidant,β-pinene,5,GABAA receptor; TRP channels,analogue-based candidate,,,,unresolved,unresolved,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance.","Plausible monoterpene receptor hypotheses, but no compound-specific receptor result was established in this first pass."
H0054,anti-oxidant,β-caryophyllene,5,CNR2/CB2,direct binding and functional receptor pharmacology,https://pubmed.ncbi.nlm.nih.gov/18574142/,18574142,10.1016/j.bcp.2008.05.011,unresolved,unresolved,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance.",Strongest receptor-supported compound in this pass: selective CB2 binding/agonism plus CB2-dependent mouse analgesia; promotional effects still require effect-specific support.
H0055,anti-oxidant,terpinolene,5,unresolved,no compound-specific receptor evidence,,,,unresolved,unresolved,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance.",Keep as an open receptor-screening hypothesis; do not infer a target from network pharmacology alone.
H0056,anti-oxidant,phytol,5,GABAA α2/α3; HTR1A,computational plus preclinical,https://pubmed.ncbi.nlm.nih.gov/40116135/,40116135,,unresolved,unresolved,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance.","Docking and mouse antidepressant-like results nominate GABAA α2/α3 and 5-HT1A, but this is not direct receptor binding evidence."
H0057,anti-oxidant,borneol,5,GABAA receptor,direct receptor pharmacology,https://pubmed.ncbi.nlm.nih.gov/15763546/,15763546,10.1016/j.bcp.2005.01.002,unresolved,unresolved,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance.","Human recombinant GABAA modulation and antagonist-sensitive animal effects provide a plausible mechanism, with enantiomer and concentration qualifications."
H0058,anti-parastitic,nerolidol,1,TRPV1,direct receptor pharmacology,https://pubmed.ncbi.nlm.nih.gov/31446830/,31446830,10.1080/19336950.2019.1654347,unresolved,unresolved,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance.","Nerolidol was active in the same inducible TRPV1 screening study, but isolated-compound translational relevance and effect support remain unresolved."
H0059,anti-proliferative,β-pinene,4,GABAA receptor; TRP channels,analogue-based candidate,,,,unresolved,unresolved,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance.","Plausible monoterpene receptor hypotheses, but no compound-specific receptor result was established in this first pass."
H0060,anti-proliferative,humulene,4,CNR2/CB2; TRP channels,family-level candidate,,,,unresolved,unresolved,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance.",Chemically and phenotypically plausible immune/nociceptive targets; direct target evidence for α-humulene remains unresolved here.
H0061,anti-proliferative,β-myrcene,4,TRPV1; odorant receptors,direct receptor pharmacology,https://pubmed.ncbi.nlm.nih.gov/31446830/,31446830,10.1080/19336950.2019.1654347,unresolved,unresolved,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance.",Myrcene activated TRPV1 in an inducible human-cell system; a later nanoparticle study is formulation-specific and does not establish free-compound pharmacology.
H0062,anti-proliferative,terpinolene,4,unresolved,no compound-specific receptor evidence,,,,unresolved,unresolved,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance.",Keep as an open receptor-screening hypothesis; do not infer a target from network pharmacology alone.
H0063,anti-psychotic,β-myrcene,1,TRPV1; odorant receptors,direct receptor pharmacology,https://pubmed.ncbi.nlm.nih.gov/31446830/,31446830,10.1080/19336950.2019.1654347,unresolved,unresolved,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance.",Myrcene activated TRPV1 in an inducible human-cell system; a later nanoparticle study is formulation-specific and does not establish free-compound pharmacology.
H0064,anti-septic,β-caryophyllene,2,CNR2/CB2,direct binding and functional receptor pharmacology,https://pubmed.ncbi.nlm.nih.gov/18574142/,18574142,10.1016/j.bcp.2008.05.011,unresolved,unresolved,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance.",Strongest receptor-supported compound in this pass: selective CB2 binding/agonism plus CB2-dependent mouse analgesia; promotional effects still require effect-specific support.
H0065,anti-septic,ocimene,2,odorant receptors,sensory-only evidence,https://pubmed.ncbi.nlm.nih.gov/11085637/,,,unresolved,unresolved,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance.","Insect olfactory-neuron responses support odorant sensing, not a human pharmacological target for these effects."
H0066,anti-spasmodic,β-myrcene,1,TRPV1; odorant receptors,direct receptor pharmacology,https://pubmed.ncbi.nlm.nih.gov/31446830/,31446830,10.1080/19336950.2019.1654347,unresolved,unresolved,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance.",Myrcene activated TRPV1 in an inducible human-cell system; a later nanoparticle study is formulation-specific and does not establish free-compound pharmacology.
H0067,anti-toxin,phytol,1,GABAA α2/α3; HTR1A,computational plus preclinical,https://pubmed.ncbi.nlm.nih.gov/40116135/,40116135,,unresolved,unresolved,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance.","Docking and mouse antidepressant-like results nominate GABAA α2/α3 and 5-HT1A, but this is not direct receptor binding evidence."
H0068,anti-tumor,α-pinene,6,GABAA benzodiazepine-site receptor,direct receptor pharmacology,https://pubmed.ncbi.nlm.nih.gov/27573669/,27573669,10.1124/mol.116.105080,unresolved,unresolved,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance.",Direct receptor modulation was reported for (-)-α-pinene in recombinant/brain-slice and mouse sleep models; stereoisomer and dose remain critical.
H0069,anti-tumor,β-pinene,6,GABAA receptor; TRP channels,analogue-based candidate,,,,unresolved,unresolved,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance.","Plausible monoterpene receptor hypotheses, but no compound-specific receptor result was established in this first pass."
H0070,anti-tumor,caryophyllene oxide,6,unresolved,phenotype-only,https://pubmed.ncbi.nlm.nih.gov/34358077/,34358077,,unresolved,unresolved,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance.","A mouse sedative phenotype was reported, but a GABAA mechanism was not supported in the cited study; receptor target remains unresolved."
H0071,anti-tumor,terpinolene,6,unresolved,no compound-specific receptor evidence,,,,unresolved,unresolved,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance.",Keep as an open receptor-screening hypothesis; do not infer a target from network pharmacology alone.
H0072,anti-tumor,phytol,6,GABAA α2/α3; HTR1A,computational plus preclinical,https://pubmed.ncbi.nlm.nih.gov/40116135/,40116135,,unresolved,unresolved,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance.","Docking and mouse antidepressant-like results nominate GABAA α2/α3 and 5-HT1A, but this is not direct receptor binding evidence."
H0073,anti-tumor,terpineol,6,CNR1/CB1; CNR2/CB2; DRD2,mechanism plus docking,https://pubmed.ncbi.nlm.nih.gov/32443870/,32443870,10.3390/biom10050792,unresolved,unresolved,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance.","Mouse antagonist experiments and docking nominate CB1, CB2, and D2; direct ligand-receptor binding remains unresolved."
H0074,anti-viral,α-pinene,3,GABAA benzodiazepine-site receptor,direct receptor pharmacology,https://pubmed.ncbi.nlm.nih.gov/27573669/,27573669,10.1124/mol.116.105080,unresolved,unresolved,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance.",Direct receptor modulation was reported for (-)-α-pinene in recombinant/brain-slice and mouse sleep models; stereoisomer and dose remain critical.
H0075,anti-viral,β-pinene,3,GABAA receptor; TRP channels,analogue-based candidate,,,,unresolved,unresolved,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance.","Plausible monoterpene receptor hypotheses, but no compound-specific receptor result was established in this first pass."
H0076,anti-viral,ocimene,3,odorant receptors,sensory-only evidence,https://pubmed.ncbi.nlm.nih.gov/11085637/,,,unresolved,unresolved,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance.","Insect olfactory-neuron responses support odorant sensing, not a human pharmacological target for these effects."
H0077,brain ischemia,β-caryophyllene,1,CNR2/CB2,direct binding and functional receptor pharmacology,https://pubmed.ncbi.nlm.nih.gov/18574142/,18574142,10.1016/j.bcp.2008.05.011,unresolved,unresolved,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance.",Strongest receptor-supported compound in this pass: selective CB2 binding/agonism plus CB2-dependent mouse analgesia; promotional effects still require effect-specific support.
