hypothesis_id,effect_hypothesis,compound,promotional_source_count,receptor_evidence_rows,receptor_genes,receptor_evidence_statuses,receptor_mechanism_status,effect_support_status,interpretation,claim_boundary
H0035,anti-coagulant,borneol,3,0,,,unresolved,unresolved,No receptor evidence is linked in the current local Terpedia evidence set; this is not biological absence.,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance."
H0036,anti-depressant,β-pinene,4,0,,,unresolved,unresolved,No receptor evidence is linked in the current local Terpedia evidence set; this is not biological absence.,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance."
H0037,anti-depressant,β-caryophyllene,4,0,,,unresolved,unresolved,No receptor evidence is linked in the current local Terpedia evidence set; this is not biological absence.,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance."
H0038,anti-depressant,linalool,4,1,GABRA/GABRB receptor complex,candidate,evidence_linked,unresolved,Terpedia receptor evidence is linked to the compound; it does not establish this effect hypothesis.,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance."
H0039,anti-depressant,d-limonene,4,0,,,unresolved,unresolved,No receptor evidence is linked in the current local Terpedia evidence set; this is not biological absence.,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance."
H0040,anti-epileptic,linalool,1,1,GABRA/GABRB receptor complex,candidate,evidence_linked,unresolved,Terpedia receptor evidence is linked to the compound; it does not establish this effect hypothesis.,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance."
H0041,anti-fungal,β-caryophyllene,4,0,,,unresolved,unresolved,No receptor evidence is linked in the current local Terpedia evidence set; this is not biological absence.,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance."
H0042,anti-fungal,caryophyllene oxide,4,0,,,unresolved,unresolved,No receptor evidence is linked in the current local Terpedia evidence set; this is not biological absence.,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance."
H0043,anti-fungal,terpinolene,4,0,,,unresolved,unresolved,No receptor evidence is linked in the current local Terpedia evidence set; this is not biological absence.,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance."
H0044,anti-fungal,ocimene,4,0,,,unresolved,unresolved,No receptor evidence is linked in the current local Terpedia evidence set; this is not biological absence.,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance."
H0045,anti-microbial,α-pinene,5,0,,,unresolved,unresolved,No receptor evidence is linked in the current local Terpedia evidence set; this is not biological absence.,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance."
H0046,anti-microbial,β-pinene,5,0,,,unresolved,unresolved,No receptor evidence is linked in the current local Terpedia evidence set; this is not biological absence.,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance."
H0047,anti-microbial,nerolidol,5,0,,,unresolved,unresolved,No receptor evidence is linked in the current local Terpedia evidence set; this is not biological absence.,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance."
H0048,anti-microbial,terpinolene,5,0,,,unresolved,unresolved,No receptor evidence is linked in the current local Terpedia evidence set; this is not biological absence.,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance."
H0049,anti-microbial,α-bisabolol,5,0,,,unresolved,unresolved,No receptor evidence is linked in the current local Terpedia evidence set; this is not biological absence.,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance."
H0050,anti-mutagenic,β-myrcene,1,0,,,unresolved,unresolved,No receptor evidence is linked in the current local Terpedia evidence set; this is not biological absence.,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance."
H0051,anti-nociceptive,phytol,2,0,,,unresolved,unresolved,No receptor evidence is linked in the current local Terpedia evidence set; this is not biological absence.,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance."
H0052,anti-nociceptive,borneol,2,0,,,unresolved,unresolved,No receptor evidence is linked in the current local Terpedia evidence set; this is not biological absence.,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance."
H0053,anti-oxidant,β-pinene,5,0,,,unresolved,unresolved,No receptor evidence is linked in the current local Terpedia evidence set; this is not biological absence.,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance."
H0054,anti-oxidant,β-caryophyllene,5,0,,,unresolved,unresolved,No receptor evidence is linked in the current local Terpedia evidence set; this is not biological absence.,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance."
H0055,anti-oxidant,terpinolene,5,0,,,unresolved,unresolved,No receptor evidence is linked in the current local Terpedia evidence set; this is not biological absence.,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance."
H0056,anti-oxidant,phytol,5,0,,,unresolved,unresolved,No receptor evidence is linked in the current local Terpedia evidence set; this is not biological absence.,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance."
H0057,anti-oxidant,borneol,5,0,,,unresolved,unresolved,No receptor evidence is linked in the current local Terpedia evidence set; this is not biological absence.,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance."
H0058,anti-parastitic,nerolidol,1,0,,,unresolved,unresolved,No receptor evidence is linked in the current local Terpedia evidence set; this is not biological absence.,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance."
H0059,anti-proliferative,β-pinene,4,0,,,unresolved,unresolved,No receptor evidence is linked in the current local Terpedia evidence set; this is not biological absence.,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance."
H0060,anti-proliferative,humulene,4,0,,,unresolved,unresolved,No receptor evidence is linked in the current local Terpedia evidence set; this is not biological absence.,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance."
H0061,anti-proliferative,β-myrcene,4,0,,,unresolved,unresolved,No receptor evidence is linked in the current local Terpedia evidence set; this is not biological absence.,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance."
H0062,anti-proliferative,terpinolene,4,0,,,unresolved,unresolved,No receptor evidence is linked in the current local Terpedia evidence set; this is not biological absence.,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance."
H0063,anti-psychotic,β-myrcene,1,0,,,unresolved,unresolved,No receptor evidence is linked in the current local Terpedia evidence set; this is not biological absence.,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance."
H0064,anti-septic,β-caryophyllene,2,0,,,unresolved,unresolved,No receptor evidence is linked in the current local Terpedia evidence set; this is not biological absence.,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance."
H0065,anti-septic,ocimene,2,0,,,unresolved,unresolved,No receptor evidence is linked in the current local Terpedia evidence set; this is not biological absence.,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance."
H0066,anti-spasmodic,β-myrcene,1,0,,,unresolved,unresolved,No receptor evidence is linked in the current local Terpedia evidence set; this is not biological absence.,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance."
H0067,anti-toxin,phytol,1,0,,,unresolved,unresolved,No receptor evidence is linked in the current local Terpedia evidence set; this is not biological absence.,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance."
H0068,anti-tumor,α-pinene,6,0,,,unresolved,unresolved,No receptor evidence is linked in the current local Terpedia evidence set; this is not biological absence.,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance."
H0069,anti-tumor,β-pinene,6,0,,,unresolved,unresolved,No receptor evidence is linked in the current local Terpedia evidence set; this is not biological absence.,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance."
H0070,anti-tumor,caryophyllene oxide,6,0,,,unresolved,unresolved,No receptor evidence is linked in the current local Terpedia evidence set; this is not biological absence.,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance."
H0071,anti-tumor,terpinolene,6,0,,,unresolved,unresolved,No receptor evidence is linked in the current local Terpedia evidence set; this is not biological absence.,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance."
H0072,anti-tumor,phytol,6,0,,,unresolved,unresolved,No receptor evidence is linked in the current local Terpedia evidence set; this is not biological absence.,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance."
H0073,anti-tumor,terpineol,6,0,,,unresolved,unresolved,No receptor evidence is linked in the current local Terpedia evidence set; this is not biological absence.,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance."
H0074,anti-viral,α-pinene,3,0,,,unresolved,unresolved,No receptor evidence is linked in the current local Terpedia evidence set; this is not biological absence.,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance."
H0075,anti-viral,β-pinene,3,0,,,unresolved,unresolved,No receptor evidence is linked in the current local Terpedia evidence set; this is not biological absence.,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance."
H0076,anti-viral,ocimene,3,0,,,unresolved,unresolved,No receptor evidence is linked in the current local Terpedia evidence set; this is not biological absence.,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance."
H0077,brain ischemia,β-caryophyllene,1,0,,,unresolved,unresolved,No receptor evidence is linked in the current local Terpedia evidence set; this is not biological absence.,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance."
H0078,bronchodialator,α-pinene,1,0,,,unresolved,unresolved,No receptor evidence is linked in the current local Terpedia evidence set; this is not biological absence.,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance."
H0079,cardiovascular health,phytol,2,0,,,unresolved,unresolved,No receptor evidence is linked in the current local Terpedia evidence set; this is not biological absence.,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance."
H0080,cardiovascular health,terpineol,2,0,,,unresolved,unresolved,No receptor evidence is linked in the current local Terpedia evidence set; this is not biological absence.,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance."
H0081,decongestant,ocimene,1,0,,,unresolved,unresolved,No receptor evidence is linked in the current local Terpedia evidence set; this is not biological absence.,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance."
H0082,gastric protection,β-caryophyllene,1,0,,,unresolved,unresolved,No receptor evidence is linked in the current local Terpedia evidence set; this is not biological absence.,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance."
H0083,hyper-pigmentation,α-bisabolol,1,0,,,unresolved,unresolved,No receptor evidence is linked in the current local Terpedia evidence set; this is not biological absence.,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance."
H0084,immuno-stimulatory,α-pinene,3,0,,,unresolved,unresolved,No receptor evidence is linked in the current local Terpedia evidence set; this is not biological absence.,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance."
H0085,immuno-stimulatory,phytol,3,0,,,unresolved,unresolved,No receptor evidence is linked in the current local Terpedia evidence set; this is not biological absence.,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance."
H0086,immuno-stimulatory,terpineol,3,0,,,unresolved,unresolved,No receptor evidence is linked in the current local Terpedia evidence set; this is not biological absence.,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance."
H0087,interleukin-B secretion,humulene,1,0,,,unresolved,unresolved,No receptor evidence is linked in the current local Terpedia evidence set; this is not biological absence.,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance."
H0088,longevity,β-caryophyllene,1,0,,,unresolved,unresolved,No receptor evidence is linked in the current local Terpedia evidence set; this is not biological absence.,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance."
H0089,lowers blood-brain barrier,borneol,1,0,,,unresolved,unresolved,No receptor evidence is linked in the current local Terpedia evidence set; this is not biological absence.,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance."
H0090,memory retention,α-pinene,2,0,,,unresolved,unresolved,No receptor evidence is linked in the current local Terpedia evidence set; this is not biological absence.,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance."
H0091,memory retention,β-pinene,2,0,,,unresolved,unresolved,No receptor evidence is linked in the current local Terpedia evidence set; this is not biological absence.,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance."
H0092,natural humectant,α-bisabolol,1,0,,,unresolved,unresolved,No receptor evidence is linked in the current local Terpedia evidence set; this is not biological absence.,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance."
H0093,neuro-inflammation,β-caryophyllene,1,0,,,unresolved,unresolved,No receptor evidence is linked in the current local Terpedia evidence set; this is not biological absence.,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance."
H0094,neurological health,borneol,2,0,,,unresolved,unresolved,No receptor evidence is linked in the current local Terpedia evidence set; this is not biological absence.,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance."
H0095,neurological health,terpineol,2,0,,,unresolved,unresolved,No receptor evidence is linked in the current local Terpedia evidence set; this is not biological absence.,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance."
H0096,neuroprotective,β-caryophyllene,3,0,,,unresolved,unresolved,No receptor evidence is linked in the current local Terpedia evidence set; this is not biological absence.,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance."
H0097,neuroprotective,borneol,3,0,,,unresolved,unresolved,No receptor evidence is linked in the current local Terpedia evidence set; this is not biological absence.,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance."
H0098,neuroprotective,terpineol,3,0,,,unresolved,unresolved,No receptor evidence is linked in the current local Terpedia evidence set; this is not biological absence.,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance."
H0099,oral health,α-pinene,1,0,,,unresolved,unresolved,No receptor evidence is linked in the current local Terpedia evidence set; this is not biological absence.,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance."
H0100,pharmacokinetic,humulene,1,0,,,unresolved,unresolved,No receptor evidence is linked in the current local Terpedia evidence set; this is not biological absence.,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance."
H0101,prohibits neurotransmitter degeneration,phytol,1,0,,,unresolved,unresolved,No receptor evidence is linked in the current local Terpedia evidence set; this is not biological absence.,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance."
H0102,relaxation,phytol,1,0,,,unresolved,unresolved,No receptor evidence is linked in the current local Terpedia evidence set; this is not biological absence.,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance."
H0103,respiratory function,α-pinene,1,0,,,unresolved,unresolved,No receptor evidence is linked in the current local Terpedia evidence set; this is not biological absence.,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance."
H0104,sedative,α-pinene,4,0,,,unresolved,unresolved,No receptor evidence is linked in the current local Terpedia evidence set; this is not biological absence.,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance."
H0105,sedative,β-myrcene,4,0,,,unresolved,unresolved,No receptor evidence is linked in the current local Terpedia evidence set; this is not biological absence.,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance."
H0106,sedative,linalool,4,1,GABRA/GABRB receptor complex,candidate,evidence_linked,unresolved,Terpedia receptor evidence is linked to the compound; it does not establish this effect hypothesis.,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance."
H0107,sedative,terpinolene,4,0,,,unresolved,unresolved,No receptor evidence is linked in the current local Terpedia evidence set; this is not biological absence.,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance."
H0108,skin health,α-pinene,2,0,,,unresolved,unresolved,No receptor evidence is linked in the current local Terpedia evidence set; this is not biological absence.,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance."
H0109,skin health,α-bisabolol,2,0,,,unresolved,unresolved,No receptor evidence is linked in the current local Terpedia evidence set; this is not biological absence.,"Promotional claim treated as a hypothesis; receptor association does not establish efficacy, causality, dose-response, or human relevance."
